COMMAND     PID         USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
CommCente   620 trevorrosato   15u  IPv4 0xfdc081acaa926782      0t0  UDP 192.168.1.224:500->208.54.39.3:500
CommCente   620 trevorrosato   16u  IPv4 0x2155fbaa9dd06041      0t0  UDP 192.168.1.224:4500->208.54.39.3:4500
CommCente   620 trevorrosato   18u  IPv6 0x870029dc70d9f571      0t0  UDP [2607:fb91:79fa:779a:fea2:71f4:8030:b1ed]:5060
CommCente   620 trevorrosato   24u  IPv6 0x5eef6b6253033a83      0t0  TCP [2607:fb91:79fa:779a:fea2:71f4:8030:b1ed]:5060 (LISTEN)
CommCente   620 trevorrosato   25u  IPv6 0x20978e93ddb56f67      0t0  TCP [2607:fb91:79fa:779a:fea2:71f4:8030:b1ed]:5060->[fd00:976a:8ef4:13::1]:44516 (ESTABLISHED)
rapportd    621 trevorrosato   10u  IPv4 0x3d6790d169a44519      0t0  TCP *:55992 (LISTEN)
rapportd    621 trevorrosato   11u  IPv6 0xda33faa726ad9530      0t0  TCP *:55992 (LISTEN)
rapportd    621 trevorrosato   20u  IPv6 0xa6113725d6ae0805      0t0  TCP [fe80:b::43a:f351:3e0a:76b3]:55992->[fe80:b::1430:2379:dbf7:793c]:60839 (ESTABLISHED)
rapportd    621 trevorrosato   21u  IPv6 0xca5d417bcc5c887e      0t0  UDP *:3722
rapportd    621 trevorrosato   22u  IPv6 0x1303ad96e4666330      0t0  TCP [fe80:b::43a:f351:3e0a:76b3]:55992->[fe80:b::1492:5554:687f:3895]:52001 (ESTABLISHED)
rapportd    621 trevorrosato   23u  IPv6 0xf191a556b103c188      0t0  TCP [2600:4040:a7ea:ca00:2027:e22e:6320:edb]:56007->[2600:4040:a7ea:ca00:853:63b6:c30a:e310]:49153 (ESTABLISHED)
stable      627 trevorrosato   17u  IPv4  0xc7315f4014762fc      0t0  TCP 192.168.1.224:57211->34.117.41.85:443 (ESTABLISHED)
stable      627 trevorrosato   20u  IPv4 0x187d4bf53995493c      0t0  TCP 192.168.1.224:57731->54.175.92.109:443 (ESTABLISHED)
stable      627 trevorrosato   45u  IPv4 0x57646eca43b73f1a      0t0  TCP 127.0.0.1:9277 (LISTEN)
stable      627 trevorrosato   86u  IPv4 0xf55c20d848df3c8d      0t0  TCP 192.168.1.224:57632->34.117.41.85:443 (ESTABLISHED)
